"date","faultsForward","shortagesForward","mahcines"
"25/10/2022",192,214,77
"26/10/2022",274,354,103
"27/10/2022",255,356,107
"28/10/2022",201,322,80
"29/10/2022",87,122,33
"30/10/2022",37,44,15
"31/10/2022",253,249,73
"01/11/2022",400,316,86
"02/11/2022",394,262,85
"04/11/2022",331,351,79
"03/11/2022",433,469,102
"05/11/2022",92,129,26
"06/11/2022",109,103,28
"07/11/2022",212,197,64
"08/11/2022",310,381,95
"09/11/2022",284,389,75
"10/11/2022",259,306,70
"11/11/2022",318,400,73
"12/11/2022",278,275,55
"13/11/2022",112,121,28
"14/11/2022",179,247,47
"15/11/2022",276,334,79
"16/11/2022",376,365,96
"17/11/2022",337,377,87
"18/11/2022",341,335,81
"19/11/2022",207,187,44
"20/11/2022",106,95,27
"21/11/2022",200,127,45
"22/11/2022",374,245,84
"23/11/2022",430,295,96
"24/11/2022",420,292,80